q,threshold,reject_rate,coverage,oracle_q_reject_rate,oracle_q_coverage,keep_all_accepted_mean_window_smape,meta_model_accepted_mean_window_smape,oracle_q_accepted_mean_window_smape,meta_model_rejected_mean_window_smape,oracle_q_rejected_mean_window_smape,accepted_mean_window_smape_gain_vs_keep_all,accepted_mean_window_smape_relative_gain_vs_keep_all,accepted_mean_window_smape_gap_to_oracle_q,decision_log_path,example_plot_path,example_plot_path_cumulative_incurred,example_plot_path_cumulative_mean_smape,forecast_windows_plot_path,forecast_windows_pointwise_path,forecast_windows_pointwise_rows,distribution_plot_path,distribution_plot_path_clipped,example_series_ids,u_hat_threshold,u_hat_coverage,u_hat_reject_rate,u_hat_accepted_mean_window_smape,u_hat_rejected_mean_window_smape,u_hat_accepted_mean_window_smape_gap_to_oracle_q,pi_width_threshold,pi_width_coverage,pi_width_reject_rate,pi_width_accepted_mean_window_smape,pi_width_rejected_mean_window_smape,pi_width_accepted_mean_window_smape_gap_to_oracle_q,resid_scale_threshold,resid_scale_coverage,resid_scale_reject_rate,resid_scale_accepted_mean_window_smape,resid_scale_rejected_mean_window_smape,resid_scale_accepted_mean_window_smape_gap_to_oracle_q,err_var_threshold,err_var_coverage,err_var_reject_rate,err_var_accepted_mean_window_smape,err_var_rejected_mean_window_smape,err_var_accepted_mean_window_smape_gap_to_oracle_q,random_coverage,random_reject_rate,random_accepted_mean_window_smape,random_rejected_mean_window_smape,random_accepted_mean_window_smape_gap_to_oracle_q,oracle_coverage,oracle_reject_rate,oracle_accepted_mean_window_smape,oracle_rejected_mean_window_smape,oracle_accepted_mean_window_smape_gap_to_oracle_q
0.05,0.7957694688513794,0.0748663101604278,0.9251336898395722,0.04919786096256684,0.9508021390374332,0.12009647105883695,0.10290294186739796,0.08421490274701914,0.3325593674959044,0.8135467803894031,0.01719352919143899,0.14316431648533318,0.01868803912037882,final/M3_Q_tune/AutoNHITS/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p05_decisions.csv,final/M3_Q_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p05_examples.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p05_examples.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/cumulative_mean_smape/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p05_examples.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p05_forecast_windows.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p05_forecast_windows_pointwise.csv,3740,final/M3_Q_tune/AutoNHITS/plots/online_plots/distributions/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p05_distribution.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/distributions_clipped/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p05_distribution_clipped.pdf,ID71|ID116|ID22|ID175|ID157|ID102|ID117|ID1|ID174|ID64,0.7957694688513794,0.9251336898395722,0.0748663101604278,0.10290294186739796,0.3325593674959044,0.01868803912037882,4585.614686455198,0.8748663101604278,0.12513368983957218,0.11345657893593576,0.16651896470441974,0.029241676188916627,0.08572382713675994,0.9390374331550803,0.06096256684491978,0.09836891507249729,0.4547770702870163,0.014154012325478152,725.9303138288437,0.9144385026737968,0.0855614973262032,0.11297193819207288,0.19623991607237795,0.028757035445053744,0.9508021390374332,0.04919786096256684,0.12055721999521139,0.11119199704933966,0.03634231724819226,0.9508021390374332,0.04919786096256684,0.08421490274701914,0.8135467803894031,0.0
0.1,0.7677208375106765,0.11016042780748662,0.8898395721925134,0.09946524064171124,0.9005347593582887,0.12009647105883695,0.09795960933963001,0.06748018822283447,0.2989107327130133,0.5964718489933971,0.022136861719206938,0.18432566356060354,0.030479421116795538,final/M3_Q_tune/AutoNHITS/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p1_decisions.csv,final/M3_Q_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p1_examples.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p1_examples.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/cumulative_mean_smape/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p1_examples.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p1_forecast_windows.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p1_forecast_windows_pointwise.csv,3740,final/M3_Q_tune/AutoNHITS/plots/online_plots/distributions/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p1_distribution.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/distributions_clipped/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p1_distribution_clipped.pdf,ID71|ID116|ID22|ID175|ID157|ID102|ID117|ID1|ID174|ID64,0.7677208375106765,0.8898395721925134,0.11016042780748662,0.09795960933963001,0.2989107327130133,0.030479421116795538,1124.4476406665085,0.7700534759358288,0.22994652406417113,0.10863404378813364,0.15848227401188997,0.04115385556529917,0.04724086880191922,0.8663101604278075,0.13368983957219252,0.08656707164485859,0.3373669792614167,0.019086883422024123,464.6939392118571,0.8705882352941177,0.12941176470588237,0.112497153684245,0.17121915157881915,0.04501696546141053,0.9005347593582887,0.09946524064171124,0.12198366542020125,0.10301025974411931,0.054503477197366784,0.9005347593582887,0.09946524064171124,0.06748018822283447,0.5964718489933971,0.0
0.2,0.670618190521595,0.32620320855614976,0.6737967914438503,0.2,0.8,0.12009647105883695,0.060280008943848384,0.049528947868069266,0.24365178624717396,0.4023665638219077,0.05981646211498856,0.49807010637043314,0.010751061075779118,final/M3_Q_tune/AutoNHITS/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p2_decisions.csv,final/M3_Q_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p2_examples.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p2_examples.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/cumulative_mean_smape/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p2_examples.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p2_forecast_windows.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p2_forecast_windows_pointwise.csv,3740,final/M3_Q_tune/AutoNHITS/plots/online_plots/distributions/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p2_distribution.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/distributions_clipped/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p2_distribution_clipped.pdf,ID71|ID116|ID22|ID175|ID157|ID102|ID117|ID1|ID174|ID64,0.670618190521595,0.6737967914438503,0.32620320855614976,0.060280008943848384,0.24365178624717396,0.010751061075779118,471.83846171412256,0.7219251336898396,0.27807486631016043,0.10693939217736047,0.1542542720011317,0.0574104443092912,0.020035001744439264,0.6470588235294118,0.35294117647058826,0.06943890864008968,0.21296866882654023,0.019909960772020417,151.45451170781496,0.7711229946524064,0.2288770053475936,0.10860219899100625,0.15882249984811705,0.05907325112293698,0.8,0.2,0.11895199485103806,0.12467437589003248,0.0694230469829688,0.8,0.2,0.049528947868069266,0.4023665638219077,0.0
0.3,0.6123147773894593,0.4385026737967914,0.5614973262032086,0.2994652406417112,0.7005347593582888,0.12009647105883695,0.0480567378357307,0.03864097587005676,0.21234247091769248,0.31064414730401924,0.07203973322310625,0.5998488763904892,0.009415761965673945,final/M3_Q_tune/AutoNHITS/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p3_decisions.csv,final/M3_Q_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p3_examples.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p3_examples.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/cumulative_mean_smape/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p3_examples.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p3_forecast_windows.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p3_forecast_windows_pointwise.csv,3740,final/M3_Q_tune/AutoNHITS/plots/online_plots/distributions/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p3_distribution.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/distributions_clipped/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p3_distribution_clipped.pdf,ID71|ID116|ID22|ID175|ID157|ID102|ID117|ID1|ID174|ID64,0.6123147773894593,0.5614973262032086,0.4385026737967914,0.0480567378357307,0.21234247091769248,0.009415761965673945,120.2303016879981,0.6203208556149733,0.37967914438502676,0.10476689168662899,0.14514198101906403,0.06612591581657223,0.013780910402152673,0.532620320855615,0.46737967914438505,0.06659221502266409,0.18106928457374333,0.027951239152607332,27.47118108720481,0.6834224598930482,0.3165775401069519,0.11203770663060567,0.13749360102383623,0.07339673076054891,0.7005347593582888,0.2994652406417112,0.12380232641334005,0.11142741656883869,0.08516135054328329,0.7005347593582888,0.2994652406417112,0.03864097587005676,0.31064414730401924,0.0
0.4,0.5297501041658177,0.5754010695187166,0.42459893048128344,0.4,0.6,0.12009647105883695,0.03969936123682404,0.03062905909941944,0.1794229628791699,0.25429758899796323,0.0803971098220129,0.6694377371223941,0.0090703021374046,final/M3_Q_tune/AutoNHITS/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p4_decisions.csv,final/M3_Q_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p4_examples.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p4_examples.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/cumulative_mean_smape/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p4_examples.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p4_forecast_windows.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p4_forecast_windows_pointwise.csv,3740,final/M3_Q_tune/AutoNHITS/plots/online_plots/distributions/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p4_distribution.pdf,final/M3_Q_tune/AutoNHITS/plots/online_plots/distributions_clipped/ds2_adapted_online_M3_Quarterly_to_M1_Quarterly_catboost_q0p4_distribution_clipped.pdf,ID71|ID116|ID22|ID175|ID157|ID102|ID117|ID1|ID174|ID64,0.5297501041658177,0.42459893048128344,0.5754010695187166,0.03969936123682404,0.1794229628791699,0.0090703021374046,40.10813076210469,0.506951871657754,0.493048128342246,0.10302817047940811,0.13764609030970307,0.07239911137998867,0.01038687115455007,0.439572192513369,0.560427807486631,0.06661320968346324,0.16204612835898696,0.03598415058404379,16.36003078357377,0.6267379679144385,0.3732620320855615,0.11002448491896231,0.13700817271490154,0.07939542581954287,0.6,0.4,0.12206189305714384,0.11714833806137658,0.09143283395772439,0.6,0.4,0.03062905909941944,0.25429758899796323,0.0
