q,threshold,reject_rate,coverage,oracle_q_reject_rate,oracle_q_coverage,keep_all_accepted_mean_window_smape,meta_model_accepted_mean_window_smape,oracle_q_accepted_mean_window_smape,meta_model_rejected_mean_window_smape,oracle_q_rejected_mean_window_smape,accepted_mean_window_smape_gain_vs_keep_all,accepted_mean_window_smape_relative_gain_vs_keep_all,accepted_mean_window_smape_gap_to_oracle_q,decision_log_path,example_plot_path,example_plot_path_cumulative_incurred,example_plot_path_cumulative_mean_smape,forecast_windows_plot_path,forecast_windows_pointwise_path,forecast_windows_pointwise_rows,distribution_plot_path,distribution_plot_path_clipped,example_series_ids,u_hat_threshold,u_hat_coverage,u_hat_reject_rate,u_hat_accepted_mean_window_smape,u_hat_rejected_mean_window_smape,u_hat_accepted_mean_window_smape_gap_to_oracle_q,pi_width_threshold,pi_width_coverage,pi_width_reject_rate,pi_width_accepted_mean_window_smape,pi_width_rejected_mean_window_smape,pi_width_accepted_mean_window_smape_gap_to_oracle_q,resid_scale_threshold,resid_scale_coverage,resid_scale_reject_rate,resid_scale_accepted_mean_window_smape,resid_scale_rejected_mean_window_smape,resid_scale_accepted_mean_window_smape_gap_to_oracle_q,err_var_threshold,err_var_coverage,err_var_reject_rate,err_var_accepted_mean_window_smape,err_var_rejected_mean_window_smape,err_var_accepted_mean_window_smape_gap_to_oracle_q,random_coverage,random_reject_rate,random_accepted_mean_window_smape,random_rejected_mean_window_smape,random_accepted_mean_window_smape_gap_to_oracle_q,oracle_coverage,oracle_reject_rate,oracle_accepted_mean_window_smape,oracle_rejected_mean_window_smape,oracle_accepted_mean_window_smape_gap_to_oracle_q
0.05,0.8593433546880972,0.020427553444180523,0.9795724465558194,0.049976247030878856,0.9500237529691211,0.30689373204048903,0.29530246168808266,0.27475471453061034,0.8627355801023936,0.9178405686969087,0.011591270352406369,0.03776965490737723,0.020547747157472318,final/M1_M_tune/AutoNHITS/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p05_decisions.csv,final/M1_M_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p05_examples.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p05_examples.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/cumulative_mean_smape/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p05_examples.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p05_forecast_windows.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p05_forecast_windows_pointwise.csv,63150,final/M1_M_tune/AutoNHITS/plots/online_plots/distributions/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p05_distribution.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/distributions_clipped/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p05_distribution_clipped.pdf,T000044|T000091|T000230|T000231|T000026|T000057|T000226|T000070|T000093|T000079,0.8593433546880972,0.9795724465558194,0.020427553444180523,0.29530246168808266,0.8627355801023936,0.020547747157472318,43198.13255379564,0.9414726840855107,0.058527315914489314,0.30448669871456824,0.3456133639017701,0.029731984183957894,0.1791450653915846,0.9743467933491686,0.025653206650831355,0.2982396718114176,0.6355877603705911,0.02348495728080724,2927.870191185426,0.9227553444180523,0.07724465558194775,0.30670982340926,0.30909068238058274,0.03195510887864966,0.9500237529691211,0.049976247030878856,0.30720681398905725,0.3009421989535418,0.032452099458446904,0.9500237529691211,0.049976247030878856,0.27475471453061034,0.9178405686969087,0.0
0.1,0.7750172192565257,0.04864608076009501,0.951353919239905,0.09995249406175771,0.9000475059382422,0.30689373204048903,0.2836403380577534,0.25564630747299333,0.7616520014723865,0.7683641245574916,0.023253393982735626,0.07577018216738218,0.027994030584760077,final/M1_M_tune/AutoNHITS/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p1_decisions.csv,final/M1_M_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p1_examples.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p1_examples.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/cumulative_mean_smape/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p1_examples.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p1_forecast_windows.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p1_forecast_windows_pointwise.csv,63150,final/M1_M_tune/AutoNHITS/plots/online_plots/distributions/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p1_distribution.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/distributions_clipped/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p1_distribution_clipped.pdf,T000044|T000091|T000230|T000231|T000026|T000057|T000226|T000070|T000093|T000079,0.7750172192565257,0.951353919239905,0.04864608076009501,0.2836403380577534,0.7616520014723865,0.027994030584760077,17071.76000291943,0.8508313539192399,0.14916864608076008,0.3097454620136938,0.290627972862114,0.05409915454070047,0.13864721006457204,0.9269358669833729,0.07306413301662708,0.28951801808378214,0.5273325686615977,0.03387171061078881,1310.908745255673,0.8239429928741092,0.17605700712589073,0.3132648563985519,0.27707700757577175,0.057618548925558566,0.9000475059382422,0.09995249406175771,0.30555088665985514,0.31898572281115856,0.04990457918686181,0.9000475059382422,0.09995249406175771,0.25564630747299333,0.7683641245574916,0.0
0.2,0.6645469532383651,0.12608076009501187,0.8739192399049881,0.2,0.8,0.30689373204048903,0.2636037300072811,0.22640130828202676,0.6069551025766207,0.6288634270743381,0.04329000203320793,0.14105860600468895,0.03720242172525434,final/M1_M_tune/AutoNHITS/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p2_decisions.csv,final/M1_M_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p2_examples.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p2_examples.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/cumulative_mean_smape/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p2_examples.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p2_forecast_windows.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p2_forecast_windows_pointwise.csv,63150,final/M1_M_tune/AutoNHITS/plots/online_plots/distributions/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p2_distribution.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/distributions_clipped/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p2_distribution_clipped.pdf,T000044|T000091|T000230|T000231|T000026|T000057|T000226|T000070|T000093|T000079,0.6645469532383651,0.8739192399049881,0.12608076009501187,0.2636037300072811,0.6069551025766207,0.03720242172525434,6566.313456463366,0.6905463182897862,0.30945368171021376,0.32219566711506026,0.27274744277982466,0.0957943588330335,0.10804358509499906,0.8433254156769596,0.15667458432304038,0.2766236011549078,0.46982743837185287,0.05022229287288105,573.9484114486997,0.6860807600950118,0.3139192399049881,0.3263580066468079,0.26435392364695726,0.09995669836478116,0.8,0.2,0.30908787040059005,0.2981171786000849,0.08268656211856329,0.8,0.2,0.22640130828202676,0.6288634270743381,0.0
0.3,0.5834081931071646,0.21957244655581948,0.7804275534441806,0.2999524940617577,0.7000475059382423,0.30689373204048903,0.24376240453480527,0.20263373164469928,0.5312817563294057,0.5502221080038019,0.06313132750568376,0.20571070997746782,0.041128672890105994,final/M1_M_tune/AutoNHITS/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p3_decisions.csv,final/M1_M_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p3_examples.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p3_examples.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/cumulative_mean_smape/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p3_examples.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p3_forecast_windows.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p3_forecast_windows_pointwise.csv,63150,final/M1_M_tune/AutoNHITS/plots/online_plots/distributions/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p3_distribution.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/distributions_clipped/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p3_distribution_clipped.pdf,T000044|T000091|T000230|T000231|T000026|T000057|T000226|T000070|T000093|T000079,0.5834081931071646,0.7804275534441806,0.21957244655581948,0.24376240453480527,0.5312817563294057,0.041128672890105994,3605.1692679096473,0.5783372921615202,0.4216627078384798,0.3300398738633915,0.2751473225596401,0.12740614221869223,0.0878973450021126,0.7424228028503563,0.2575771971496437,0.26158638515271054,0.4374845135163656,0.058952653508011266,327.06321229888295,0.5799524940617578,0.4200475059382423,0.3345230758049919,0.2687463639476309,0.13188934416029263,0.7000475059382423,0.2999524940617577,0.308533007862808,0.30306788970319226,0.10589927621810874,0.7000475059382423,0.2999524940617577,0.20263373164469928,0.5502221080038019,0.0
0.4,0.5094754388251552,0.32057007125890735,0.6794299287410926,0.4,0.6,0.30689373204048903,0.22595661993067181,0.18174165071798032,0.47843531138171685,0.494621854024252,0.08093711210981722,0.263730091754168,0.044214969212691496,final/M1_M_tune/AutoNHITS/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p4_decisions.csv,final/M1_M_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p4_examples.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p4_examples.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/cumulative_mean_smape/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p4_examples.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p4_forecast_windows.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p4_forecast_windows_pointwise.csv,63150,final/M1_M_tune/AutoNHITS/plots/online_plots/distributions/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p4_distribution.pdf,final/M1_M_tune/AutoNHITS/plots/online_plots/distributions_clipped/ds2_adapted_online_M1_Monthly_to_Tourism_Monthly_catboost_q0p4_distribution_clipped.pdf,T000044|T000091|T000230|T000231|T000026|T000057|T000226|T000070|T000093|T000079,0.5094754388251552,0.6794299287410926,0.32057007125890735,0.22595661993067181,0.47843531138171685,0.044214969212691496,2103.1514102336278,0.4505463182897862,0.5494536817102138,0.3426583586704659,0.27756710927041284,0.16091670795248558,0.07383742398205043,0.6457957244655582,0.3542042755344418,0.2492284998513413,0.41203069105058476,0.06748684913336098,202.2541142435389,0.4663182897862233,0.5336817102137767,0.34521097376452975,0.27341304441691916,0.16346932304654943,0.6,0.4,0.307729843462231,0.305639564907876,0.12598819274425066,0.6,0.4,0.18174165071798032,0.494621854024252,0.0
