q,threshold,reject_rate,coverage,oracle_q_reject_rate,oracle_q_coverage,keep_all_accepted_mean_window_smape,meta_model_accepted_mean_window_smape,oracle_q_accepted_mean_window_smape,meta_model_rejected_mean_window_smape,oracle_q_rejected_mean_window_smape,accepted_mean_window_smape_gain_vs_keep_all,accepted_mean_window_smape_relative_gain_vs_keep_all,accepted_mean_window_smape_gap_to_oracle_q,decision_log_path,example_plot_path,example_plot_path_cumulative_incurred,example_plot_path_cumulative_mean_smape,forecast_windows_plot_path,forecast_windows_pointwise_path,forecast_windows_pointwise_rows,distribution_plot_path,distribution_plot_path_clipped,example_series_ids,u_hat_threshold,u_hat_coverage,u_hat_reject_rate,u_hat_accepted_mean_window_smape,u_hat_rejected_mean_window_smape,u_hat_accepted_mean_window_smape_gap_to_oracle_q,pi_width_threshold,pi_width_coverage,pi_width_reject_rate,pi_width_accepted_mean_window_smape,pi_width_rejected_mean_window_smape,pi_width_accepted_mean_window_smape_gap_to_oracle_q,resid_scale_threshold,resid_scale_coverage,resid_scale_reject_rate,resid_scale_accepted_mean_window_smape,resid_scale_rejected_mean_window_smape,resid_scale_accepted_mean_window_smape_gap_to_oracle_q,err_var_threshold,err_var_coverage,err_var_reject_rate,err_var_accepted_mean_window_smape,err_var_rejected_mean_window_smape,err_var_accepted_mean_window_smape_gap_to_oracle_q,random_coverage,random_reject_rate,random_accepted_mean_window_smape,random_rejected_mean_window_smape,random_accepted_mean_window_smape_gap_to_oracle_q,oracle_coverage,oracle_reject_rate,oracle_accepted_mean_window_smape,oracle_rejected_mean_window_smape,oracle_accepted_mean_window_smape_gap_to_oracle_q
0.05,0.8601220012886117,0.05184534270650264,0.9481546572934973,0.04991212653778559,0.9500878734622145,0.271987391057221,0.23916836675445807,0.23542515347362006,0.8721861575433428,0.9679573078774555,0.0328190243027629,0.12066377112260473,0.0037432132808380147,final/M1_Q_tune/AutoKAN/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p05_decisions.csv,final/M1_Q_tune/AutoKAN/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p05_examples.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p05_examples.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/cumulative_mean_smape/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p05_examples.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p05_forecast_windows.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p05_forecast_windows_pointwise.csv,22760,final/M1_Q_tune/AutoKAN/plots/online_plots/distributions/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p05_distribution.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/distributions_clipped/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p05_distribution_clipped.pdf,T000053|T000155|T000091|T000089|T000073|T000283|T000141|T000315|T000071|T000046,0.8601220012886117,0.9481546572934973,0.05184534270650264,0.23916836675445807,0.8721861575433428,0.0037432132808380147,62771.31303515822,0.8977152899824253,0.10228471001757469,0.260374382427283,0.37391049772684826,0.024949228953662944,0.13011803088417928,0.9592267135325132,0.04077328646748682,0.2647450276976345,0.44237023250818114,0.02931987422401447,14920.79534849133,0.9362038664323374,0.06379613356766256,0.2589907939690531,0.4627115582436401,0.023565640495433055,0.9500878734622145,0.04991212653778559,0.27395784343130025,0.23447941382386622,0.038532689957680194,0.9500878734622145,0.04991212653778559,0.23542515347362006,0.9679573078774555,0.0
0.1,0.8131087207788531,0.08312829525483303,0.916871704745167,0.1,0.9,0.271987391057221,0.22915729164130724,0.21662195720620495,0.7443861831350683,0.7702762957163651,0.04283009941591373,0.15747090057900182,0.012535334435102297,final/M1_Q_tune/AutoKAN/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p1_decisions.csv,final/M1_Q_tune/AutoKAN/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p1_examples.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p1_examples.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/cumulative_mean_smape/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p1_examples.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p1_forecast_windows.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p1_forecast_windows_pointwise.csv,22760,final/M1_Q_tune/AutoKAN/plots/online_plots/distributions/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p1_distribution.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/distributions_clipped/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p1_distribution_clipped.pdf,T000053|T000155|T000091|T000089|T000073|T000283|T000141|T000315|T000071|T000046,0.8131087207788531,0.916871704745167,0.08312829525483303,0.22915729164130724,0.7443861831350683,0.012535334435102297,36852.644141440214,0.8274165202108963,0.17258347978910368,0.26166107956970047,0.32149479888130095,0.045039122363495526,0.09629977445576687,0.9080843585237258,0.09191564147627417,0.25759906359393797,0.41413746372028626,0.040977106387733025,6936.454096291099,0.8574692442882249,0.14253075571177504,0.2601317854213886,0.3433110654064516,0.04350982821518365,0.9,0.1,0.2705901214917487,0.28456281714647136,0.05396816428554377,0.9,0.1,0.21662195720620495,0.7702762957163651,0.0
0.2,0.6956924323124453,0.16063268892794377,0.8393673110720562,0.2,0.8,0.271987391057221,0.2095745264442713,0.18757945874071105,0.5981185085533345,0.6096191203232607,0.062412864612949676,0.2294696984678205,0.021995067703560245,final/M1_Q_tune/AutoKAN/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p2_decisions.csv,final/M1_Q_tune/AutoKAN/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p2_examples.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p2_examples.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/cumulative_mean_smape/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p2_examples.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p2_forecast_windows.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p2_forecast_windows_pointwise.csv,22760,final/M1_Q_tune/AutoKAN/plots/online_plots/distributions/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p2_distribution.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/distributions_clipped/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p2_distribution_clipped.pdf,T000053|T000155|T000091|T000089|T000073|T000283|T000141|T000315|T000071|T000046,0.6956924323124453,0.8393673110720562,0.16063268892794377,0.2095745264442713,0.5981185085533345,0.021995067703560245,15684.915108128534,0.6996485061511424,0.3003514938488576,0.26124982570009475,0.29699982387566426,0.0736703669593837,0.06555885589948277,0.7898066783831283,0.2101933216168717,0.24672710850532184,0.36690353636510936,0.05914764976461079,3098.1322872915803,0.7407732864674869,0.2592267135325132,0.26004768979618514,0.3061066051692658,0.07246823105547409,0.8,0.2,0.27167203875765217,0.2732488002554961,0.08409258001694112,0.8,0.2,0.18757945874071105,0.6096191203232607,0.0
0.3,0.5923880727323665,0.24674868189806679,0.7532513181019332,0.3,0.7,0.271987391057221,0.1933947423927048,0.1640551925217318,0.5119076846299534,0.5238291876400291,0.07859264866451618,0.28895695627295376,0.02933954987097298,final/M1_Q_tune/AutoKAN/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p3_decisions.csv,final/M1_Q_tune/AutoKAN/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p3_examples.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p3_examples.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/cumulative_mean_smape/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p3_examples.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p3_forecast_windows.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p3_forecast_windows_pointwise.csv,22760,final/M1_Q_tune/AutoKAN/plots/online_plots/distributions/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p3_distribution.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/distributions_clipped/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p3_distribution_clipped.pdf,T000053|T000155|T000091|T000089|T000073|T000283|T000141|T000315|T000071|T000046,0.5923880727323665,0.7532513181019332,0.24674868189806679,0.1933947423927048,0.5119076846299534,0.02933954987097298,8743.298431964537,0.5994727592267135,0.40052724077328644,0.26020157915035225,0.28962732278794906,0.09614638662862043,0.05122525421252957,0.6878734622144113,0.31212653778558874,0.2408641384624939,0.3405777123724021,0.0768089459407621,1492.0262627696063,0.639543057996485,0.3604569420035149,0.2588382089365492,0.2953174123820014,0.09478301641481737,0.7,0.3,0.2723883626252699,0.2710517907317736,0.10833317010353807,0.7,0.3,0.1640551925217318,0.5238291876400291,0.0
0.4,0.5060743824772092,0.3304042179261863,0.6695957820738138,0.4,0.6,0.271987391057221,0.18034719605819235,0.14415250859719417,0.4577050202839758,0.46373971474726117,0.09164019499902862,0.3369281003903202,0.03619468746099819,final/M1_Q_tune/AutoKAN/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p4_decisions.csv,final/M1_Q_tune/AutoKAN/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p4_examples.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/cumulative_incurred/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p4_examples.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/cumulative_mean_smape/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p4_examples.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p4_forecast_windows.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/forecast_windows/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p4_forecast_windows_pointwise.csv,22760,final/M1_Q_tune/AutoKAN/plots/online_plots/distributions/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p4_distribution.pdf,final/M1_Q_tune/AutoKAN/plots/online_plots/distributions_clipped/ds2_adapted_online_M1_Quarterly_to_Tourism_Quarterly_catboost_q0p4_distribution_clipped.pdf,T000053|T000155|T000091|T000089|T000073|T000283|T000141|T000315|T000071|T000046,0.5060743824772092,0.6695957820738138,0.3304042179261863,0.18034719605819235,0.4577050202839758,0.03619468746099819,4908.898870247673,0.47768014059753955,0.5223198594024605,0.2592514372357967,0.2836348750702194,0.11509892863860252,0.04261450706382658,0.5954305799648506,0.4045694200351494,0.23597447458148404,0.32498989367224995,0.09182196598428988,797.6955292283561,0.526713532513181,0.47328646748681896,0.25576866524650405,0.2900369719167526,0.11161615664930988,0.6,0.4,0.2743566645544691,0.26843348081134877,0.13020415595727494,0.6,0.4,0.14415250859719417,0.46373971474726117,0.0
